NID,Plot,Trail,Study,Species,Year,PlotYear,ident,FATE,EXP,ParaStat,OrdDate,OrdDate2,TrailDist,RoadDist,EdgeDist,WTR,WBH,GPH,NonCore10km,Core500,Edge60m,Core10km,Edge60m10km,PatchArea,CoreArea,TrailType,UseLevel,PlotType,PatchType
UW1-WOTH-2-09,UWT,UW1,MJP,WOTH,2009,UWT-09,01-02_2009,1,5,1,160,25600,27.3,821.82,15.18,2.46,5.87,0.66,0.59,0.9,0.06,0.24,0.09,126.08,0,Old Road,H,R,Edge
UW1-WOTH-2-09,UWT,UW1,MJP,WOTH,2009,UWT-09,01-02_2009,1,5,1,165,27225,27.3,821.82,15.18,2.46,5.87,0.66,0.59,0.9,0.06,0.24,0.09,126.08,0,Old Road,H,R,Edge
UW1-WOTH-2-09,UWT,UW1,MJP,WOTH,2009,UWT-09,01-02_2009,1,4,1,169,28561,27.3,821.82,15.18,2.46,5.87,0.66,0.59,0.9,0.06,0.24,0.09,126.08,0,Old Road,H,R,Edge
UW1-WOTH-2-09,UWT,UW1,MJP,WOTH,2009,UWT-09,01-02_2009,1,4,1,173,29929,27.3,821.82,15.18,2.46,5.87,0.66,0.59,0.9,0.06,0.24,0.09,126.08,0,Old Road,H,R,Edge
UW1-WOTH-2-09,UWT,UW1,MJP,WOTH,2009,UWT-09,01-02_2009,1,3,1,176,30976,27.3,821.82,15.18,2.46,5.87,0.66,0.59,0.9,0.06,0.24,0.09,126.08,0,Old Road,H,R,Edge
UW2-WOTH-5-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-05_2009,1,3,1,176,30976,137.2,513.03,283.61,2.46,5.87,0.66,0.6,0.86,0.1,0.23,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-5-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-05_2009,1,4,1,180,32400,137.2,513.03,283.61,2.46,5.87,0.66,0.6,0.86,0.1,0.23,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-5-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-05_2009,1,4,1,184,33856,137.2,513.03,283.61,2.46,5.87,0.66,0.6,0.86,0.1,0.23,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-5-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-05_2009,1,4,1,188,35344,137.2,513.03,283.61,2.46,5.87,0.66,0.6,0.86,0.1,0.23,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-8-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-08_2009,1,4,0,197,38809,9.3,788.64,12.6,2.46,5.87,0.66,0.59,0.98,0.02,0.24,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-8-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-08_2009,1,4,0,201,40401,9.3,788.64,12.6,2.46,5.87,0.66,0.59,0.98,0.02,0.24,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-8-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-08_2009,1,4,0,205,42025,9.3,788.64,12.6,2.46,5.87,0.66,0.59,0.98,0.02,0.24,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-8-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-08_2009,1,3,0,208,43264,9.3,788.64,12.6,2.46,5.87,0.66,0.59,0.98,0.02,0.24,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-8-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-08_2009,1,3,0,211,44521,9.3,788.64,12.6,2.46,5.87,0.66,0.59,0.98,0.02,0.24,0.09,493.16,493.16,Old Road,H,R,Core
UW2-WOTH-8-09,UWT,UW2,MJP,WOTH,2009,UWT-09,02-08_2009,0,4,0,215,46225,9.3,788.64,12.6,2.46,5.87,0.66,0.59,0.98,0.02,0.24,0.09,493.16,493.16,Old Road,H,R,Core
UE3-WOTH-2-09,UEM,UE3,MJP,WOTH,2009,UEM-09,03-02_2009,1,4,0,180,32400,55.4,289.03,209.81,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE3-WOTH-2-09,UEM,UE3,MJP,WOTH,2009,UEM-09,03-02_2009,1,3,0,183,33489,55.4,289.03,209.81,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE3-WOTH-2-09,UEM,UE3,MJP,WOTH,2009,UEM-09,03-02_2009,1,5,0,188,35344,55.4,289.03,209.81,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE3-WOTH-2-09,UEM,UE3,MJP,WOTH,2009,UEM-09,03-02_2009,0,5,0,193,37249,55.4,289.03,209.81,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE3-WOTH-4-09,UEM,UE3,MJP,WOTH,2009,UEM-09,03-04_2009,1,3,NA,183,33489,84,787.9,353.52,2.2,8.3,0.22,0.59,0.87,0.07,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE3-WOTH-4-09,UEM,UE3,MJP,WOTH,2009,UEM-09,03-04_2009,0,5,NA,188,35344,84,787.9,353.52,2.2,8.3,0.22,0.59,0.87,0.07,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE4-WOTH-2-09,UEM,UE4,MJP,WOTH,2009,UEM-09,03-02_2009,1,5,1,160,25600,24.7,791.02,406.45,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE4-WOTH-2-09,UEM,UE4,MJP,WOTH,2009,UEM-09,03-02_2009,1,5,1,165,27225,24.7,791.02,406.45,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE4-WOTH-2-09,UEM,UE4,MJP,WOTH,2009,UEM-09,03-02_2009,1,4,1,169,28561,24.7,791.02,406.45,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
UE4-WOTH-2-09,UEM,UE4,MJP,WOTH,2009,UEM-09,03-02_2009,1,4,1,173,29929,24.7,791.02,406.45,2.2,8.3,0.22,0.59,0.52,0.21,0.23,0.1,493.16,493.16,Constructed,H,R,Core
